L_actual,L_predicted,W_actual,W_predicted,F_actual,F_predicted,S11_actual,S11_predicted
16.24,16.104519656988487,25.46,26.121360089528025,4.18,4.045473093306555,-32.72552195,-29.02400269822101
16.64,16.55602365291088,25.46,26.044470430832007,4.09,4.134003986780499,-33.31178946,-29.77926886753994
17.04,17.40169738615623,25.46,25.81907143945864,4.01,4.150524878446504,-30.24891891,-30.041064267017646
17.44,17.725698406777155,25.46,25.55201275496802,3.94,4.048143883651846,-28.80505474,-29.404639727756148
17.84,18.085029568143,25.46,25.530734335028683,3.87,3.873348707196328,-28.0669908,-28.778654154477408
18.24,18.06204978862479,25.46,25.602140657618293,3.8,3.778965367609544,-25.73278087,-28.176319194812095
18.64,18.4377609346393,25.46,25.91009964236582,3.73,3.6192207746803433,-24.95556498,-27.50644945827662
19.04,18.914665225760473,25.46,27.171638475512736,3.65,3.5050596145824784,-24.0195729,-26.466565296024783
19.44,19.38303630835253,25.46,27.073376027066843,3.59,3.3635440785669743,-23.60625735,-25.296535386092728
19.84,19.709431348788712,25.46,27.337789602184785,3.53,3.4217012692402022,-22.23282554,-24.294146134721814
20.24,20.213540749127787,25.46,27.66981745227531,3.47,3.4715580492497793,-21.34250453,-23.34392823916278
20.64,20.772071145880545,25.46,28.26550234244496,3.41,3.6210670103114353,-20.30235203,-22.3144573259342
21.04,21.48779238779207,25.46,29.05887561898271,3.35,3.360304606417685,-21.18179004,-21.07698965803138
21.44,20.964255957789646,25.46,25.878533174356562,3.26,3.3211401173552986,-5.698106666,-12.86069428382325
21.84,21.848146804199132,25.46,26.5390855458827,3.19,3.1962486900388285,-5.481317297,-8.056377963832347
22.24,22.340398383354113,25.46,25.28409924377047,3.14,3.1476746321000064,-5.386327562,-7.974720465921564
22.64,22.827320191338003,25.46,25.52076461906836,3.08,3.1054927515083364,-5.322490276,-5.567418439866742
23.04,23.289056724095644,25.46,25.93213568693318,3.02,3.0345130870641697,-5.250006073,-3.4851764518243726
23.44,23.639718853051818,25.46,25.548098697981914,2.97,2.978862480414591,-5.204745929,-3.579456629959168
23.84,23.9657905142285,25.46,25.547228869007085,2.92,2.9722980961973917,-5.208162176,-3.6791436645726208
24.24,24.31338807479733,25.46,25.59348826816131,2.87,2.9066226109221134,-5.166040465,-3.884209668292897
24.64,24.598783061241193,25.46,25.238188461124082,2.83,2.8630672212689205,-5.143640055,-4.521773540502181
25.04,24.998450958284593,25.46,25.59327567888249,2.78,2.8588107654227315,-5.150335928,-4.8487394370895345
25.44,25.369064316733784,25.46,25.59236016003706,2.74,2.8678272395932254,-5.164004242,-5.1099008205055725
25.84,25.756208996002897,25.46,25.419465507453424,2.7,2.835093751223667,-5.144113412,-5.542953113879776
26.24,26.21134727378194,25.46,25.019266674134997,2.66,2.826995009070288,-5.139916773,-6.666994183236966
16.24,15.818895608941602,25.86,26.334128148344462,4.17,3.972543055214828,-33.72439847,-29.350695494184038
